Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Genjitsu Shugi Yuusha no Oukoku Saikenki (How a Realist Hero Rebuilt the Kingdom),7.74,3281,1520,1692,"11,264",298,Unknown,Unknown,Publishing,"May  25, 2016 to ?","['Action', 'Fantasy']","['Isekai', 'Military']","Dozeumaru (Story), Fuyuyuki (Art)",9,"[4, 3, 2]"
"Nee Nee, Nene-san.",7.74,627,1513,13940,"1,048",8,Unknown,1,Finished,"Sep  25, 2021","['Drama', 'Gourmet', 'Romance']",[],"Amairo, Chu (Story & Art)",1,"[1, 0, 0]"
My In-Laws are Obsessed with Me,7.74,1389,1514,4005,"4,896",64,Unknown,Unknown,Publishing,"Nov  25, 2021 to ?","['Fantasy', 'Romance']",[],"Han, Yoonseol (Story), Seungu (Art)",1,"[1, 0, 0]"
Nick to Lever,7.74,278,1515,14278,"1,012",18,Unknown,Unknown,Publishing,"Oct  12, 2020 to ?",[],[],"Miyata, Kyougorou (Story & Art)",2,"[2, 0, 0]"
Kore wa Zombie desu ka?,7.75,843,1490,4265,"4,536",64,19,118,Finished,"Jan  20, 2009 to Jun  20, 2015","['Comedy', 'Fantasy', 'Romance']",[],"Kobuichi (Art), Kimura, Shinichi (Story), Muririn (Art)",1,"[1, 0, 0]"
Jinrui wa Suitai Shimashita,7.74,230,1521,7234,"2,508",46,9,22,Finished,"May  24, 2007 to Jun  18, 2014","['Adventure', 'Comedy', 'Fantasy', 'Slice of Life']",[],"Tobe, Sunaho (Art), Tanaka, Romeo (Story), Yamazaki, Toru (Art)",0,"[0, 0, 0]"
Toaru Kagaku no Railgun SS,7.74,875,1522,7001,"2,604",62,8,Unknown,Finished,"Jan  23, 2009 to Aug  21, 2009","['Action', 'Comedy', 'Sci-Fi']",[],"Kamachi, Kazuma (Story), Fuyukawa, Motoi (Art)",0,"[0, 0, 0]"
Love Lab,7.74,950,1523,3900,"5,029",85,15,197,Finished,"Oct  2, 2006 to Oct  21, 2019","['Comedy', 'Romance']","['CGDCT', 'School']","Miyahara, Ruri (Story & Art)",2,"[2, 0, 0]"
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! (No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!)",7.74,18499,1524,290,"54,279","3,219",Unknown,Unknown,Publishing,"Aug  4, 2011 to ?",[],"['Otaku Culture', 'School']","Tanigawa, Nico (Story & Art)",27,"[23, 2, 2]"
Saki: Achiga-hen - Episode of Side-A,7.74,842,1525,8652,"2,002",28,Unknown,Unknown,Publishing,"Aug  12, 2011 to ?",[],[],"Igarashi, Aguri (Art), Kobayashi, Ritz (Story)",0,"[0, 0, 0]"
Mahouka Koukou no Rettousei: Nyuugaku-hen,7.74,7707,1526,974,"18,017",143,4,23,Finished,"Dec  17, 2011 to Sep  18, 2013","['Sci-Fi', 'Supernatural']",[],"Hayashi, Fumino (Story), Kitaumi, Tsuna (Art), Satou, Tsutomu (Story)",3,"[3, 0, 0]"
Majo no Shinzou (Witch's Heart),7.74,978,1527,5538,"3,415",73,8,46,Finished,"Mar  1, 2012 to Jan  7, 2016",[],[],matoba (Story & Art),6,"[6, 0, 0]"
Biblia Koshodou no Jiken Techou,7.74,259,1528,8345,"2,102",34,7,36,Finished,"Mar  25, 2011 to Feb  25, 2017","['Drama', 'Mystery']",[],"Mikami, En (Story), Koshijima, Hagu (Art)",0,"[0, 0, 0]"
To LOVE-Ru Darkness: Little Sisters,7.74,811,1529,6530,"2,833",44,1,4,Finished,"Aug  17, 2012","['Comedy', 'Fantasy', 'Romance', 'Ecchi']",[],"Yabuki, Kentarou (Art), Wakatsuki, Hikaru (Story)",0,"[0, 0, 0]"
Kobayashi ga Kawai sugite Tsurai!! (So Cute It Hurts!!),7.74,2908,1530,2055,"9,273",177,15,76,Finished,"Aug  20, 2012 to Dec  19, 2015",[],"['Crossdressing', 'School']","Ikeyamada, Go (Story & Art)",5,"[5, 0, 0]"
My Young Cat and My Old Dog,7.74,909,1531,6164,"3,016",35,3,215,Finished,"Apr  5, 2011 to Jan  15, 2013","['Comedy', 'Drama', 'Slice of Life']","['Memoir', 'Pets']",Cho (Story & Art),2,"[2, 0, 0]"
Junai Tokkou Taichou! (Love Attack),7.74,4435,1532,1440,"13,208",154,13,25,Finished,"Sep  13, 2004 to Jul  13, 2009","['Comedy', 'Romance']",[],"Seino, Shizuru (Story & Art)",9,"[4, 5, 0]"
Karin (Chibi Vampire),7.74,17704,1533,480,"34,398","1,356",14,63,Finished,"Apr  9, 2003 to Feb  9, 2008","['Comedy', 'Drama', 'Romance', 'Supernatural']","['School', 'Vampire']","Kagesaki, Yuna (Story & Art)",17,"[16, 1, 0]"
Gensou Suikoden III: Unmei no Keishousha (Suikoden III: The Successor of Fate),7.74,1013,1534,8290,"2,118",110,11,Unknown,Finished,"Sep  21, 2002 to Apr  2006","['Action', 'Adventure', 'Fantasy']",[],"Shimizu, Aki (Story & Art)",1,"[1, 0, 0]"
Hameln no Violin-hiki,7.74,816,1535,7521,"2,397",90,37,146,Finished,"Mar  12, 1991 to Jan  12, 2001","['Action', 'Adventure', 'Comedy', 'Fantasy']",[],"Watanabe, Michiaki (Story & Art)",1,"[1, 0, 0]"
Daa! Daa! Daa!,7.74,2277,1536,4355,"4,437",79,9,47,Finished,Feb  1998 to Mar  2002,"['Comedy', 'Romance']",[],"Kawamura, Mika (Story & Art)",0,"[0, 0, 0]"
Café Latte Rhapsody,7.74,2643,1537,4254,"4,551",55,1,5,Finished,Jul  2008,[],[],"Kawai, Touko (Story & Art)",2,"[2, 0, 0]"
Tales of Symphonia: Extra Load,7.74,757,1538,9982,"1,673",13,1,6,Finished,"Jul  19, 2005 to May  21, 2007","['Adventure', 'Fantasy']",[],"Ichimura, Hitoshi (Story & Art), Bandai-Namco (Story)",0,"[0, 0, 0]"
FLCL,7.74,1245,1540,4179,"4,664",162,3,24,Finished,"Jun  1, 2000 to Mar  1, 2001","['Comedy', 'Sci-Fi']",[],"Imaishi, Hiroyuki (Art), Enokido, Youji (Story), Tsurumaki, Kazuya (Art)",1,"[0, 1, 0]"
Touhou Bougetsushou: Tsuki no Inaba to Chijou no Inaba,7.74,2065,1541,4238,"4,569",139,2,30,Finished,"Jun  22, 2007 to Dec  22, 2009","['Comedy', 'Fantasy']",[],"ZUN (Story), Arata, Toshihira (Story & Art)",2,"[2, 0, 0]"
xxxHOLiC: AnotherHOLiC,7.74,701,1542,5707,"3,291",28,1,3,Finished,"Aug  1, 2006","['Action', 'Adventure', 'Drama', 'Romance', 'Supernatural']","['Psychological', 'School']","CLAMP (Story & Art), NISIO, ISIN (Story)",1,"[1, 0, 0]"
Kuroshitsuji Anthology Comic: Nijishitsuji,7.74,1269,1543,3615,"5,436",93,2,27,Finished,"Mar  27, 2009 to Aug  27, 2010","['Action', 'Comedy', 'Mystery', 'Supernatural']","['Historical', 'Mythology']","Suzuki, Jirou (Story & Art), Mimori (Story & Art), Hotta, Kiichi (Story & Art), Satorigi, Akiyo (Story & Art), Takagi, Kanako (Story & Art), Yoshino, Satsuki (Story & Art), Takeda, Mika (Story & Art), Mochi (Story & Art), Kitaumi, Tsuna (Story & Art), Miyanaga, Ryu (Story & Art), Kirino, Hajime (Story & Art)",1,"[1, 0, 0]"
Seishun Kouryakuhon,7.74,2772,1544,2742,"7,145",78,2,8,Finished,"Jan  24, 2009 to May  24, 2010",[],[],"Akizuki, Sorata (Story & Art)",3,"[2, 1, 0]"
Toaru Hikuushi e no Tsuioku,7.74,362,1545,11097,"1,439",20,1,13,Finished,"Feb  19, 2008","['Adventure', 'Romance']",[],"Inumura, Koroku (Story), Morisawa, Haruyuki (Art)",1,"[1, 0, 0]"
Dousei Jidai,7.74,313,1546,8085,"2,189",62,6,80,Finished,"Feb  15, 1972 to Oct  23, 1973",[],[],"Kamimura, Kazuo (Story & Art)",1,"[1, 0, 0]"
Gekijouban Steins;Gate: Fuka Ryouiki no Déjà vu,7.74,487,1507,7349,"2,463",14,2,9,Finished,"Mar  26, 2013 to Oct  26, 2013","['Drama', 'Sci-Fi']",[],"Nitroplus (Story), Kugayama, Reki (Art), Shikura, Chiyomaru (Story)",0,"[0, 0, 0]"
Mahou Shoujo Homura★Tamura: Heikou Sekai ga Itsumo Heikou de Aru to wa Kagiranai no da. (Puella Magi Homura★Tamura: Parallel Worlds Do Not Remain Parallel Forever),7.74,931,1508,7126,"2,550",103,3,30,Finished,"Jun  8, 2012 to Oct  8, 2016",[],[],"Magica Quartet (Story), Afro (Story & Art)",1,"[0, 1, 0]"
Kakegurui (Kakegurui: Compulsive Gambler),7.74,16748,1510,264,"58,343","1,741",Unknown,Unknown,Publishing,"Mar  22, 2014 to ?","['Drama', 'Mystery']","['Psychological', 'School']","Naomura, Tooru (Art), Kawamoto, Homura (Story)",14,"[9, 1, 4]"
Washio Sumi wa Yuusha de Aru,7.74,777,1510,7549,"2,389",42,1,9,Finished,"Apr  30, 2014 to Nov  29, 2014","['Fantasy', 'Slice of Life']",[],"BUNBUN (Art), Takahiro (Story)",0,"[0, 0, 0]"
Kubidai Hikiukenin,7.74,467,1511,12109,"1,279",23,1,7,Finished,1987,"['Action', 'Drama']","['Historical', 'Samurai']","Hirata, Hiroshi (Story & Art)",1,"[1, 0, 0]"
Majo no Ie: Ellen no Nikki (The Witch's House: The Diary of Ellen),7.74,351,1512,12838,"1,175",39,1,5,Finished,"Oct  31, 2013","['Drama', 'Horror', 'Supernatural']",[],"Oguchi (Art), Fummy (Story)",0,"[0, 0, 0]"
Eien no 0,7.73,317,1576,11195,"1,424",25,5,41,Finished,Jan  2010 to Feb  2012,[],"['Historical', 'Military']","Hyakuta, Naoki (Story), Moto, Souichi (Art)",1,"[1, 0, 0]"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria (Is It Wrong to Try to Pick Up Girls in a Dungeon? Sword Oratoria),7.73,1640,1577,3335,"5,967",71,Unknown,Unknown,Publishing,"May  22, 2014 to ?","['Action', 'Adventure', 'Fantasy']",[],"Omori, Fujino (Story), Yagi, Takashi (Art)",0,"[0, 0, 0]"
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen (Re:ZERO -Starting Life in Another World- Chapter 1: A Day in the Capital),7.73,8069,1578,982,"17,889",231,2,11,Finished,"Jun  27, 2014 to Feb  27, 2015","['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']","Matsuse, Daichi (Art), Nagatsuki, Tappei (Story)",2,"[2, 0, 0]"
"Urami Koi, Koi, Urami Koi.",7.73,4618,1579,1248,"14,814",355,12,64,Finished,"Jun  21, 2014 to Jul  22, 2019","['Action', 'Comedy', 'Romance', 'Supernatural']",[],Akitaka (Story & Art),5,"[5, 0, 0]"
MagMell Shinkai Suizokukan (Deep Sea Aquarium MagMell),7.73,494,1564,6813,"2,691",51,Unknown,Unknown,Publishing,"Apr  8, 2017 to ?",[],[],"Sugishita, Kiyomi (Story & Art)",2,"[1, 0, 1]"
Metamorphose no Engawa (BL Metamorphosis),7.73,1544,1565,3627,"5,418",70,5,52,Finished,"Nov  17, 2017 to Oct  9, 2020",[],[],"Tsurutani, Kaori (Story & Art)",4,"[4, 0, 0]"
Tobaku Datenroku Kaiji: 24-oku Dasshutsu-hen,7.73,1267,1566,4445,"4,336",43,Unknown,Unknown,Publishing,"Aug  28, 2017 to ?",[],"['Adult Cast', 'Psychological', 'Strategy Game']","Fukumoto, Nobuyuki (Story & Art)",1,"[1, 0, 0]"
Kaketa Tsuki to Doughnut (Doughnuts Under a Crescent Moon),7.73,4105,1567,1572,"12,207",210,4,20,Finished,"Mar  18, 2019 to May  18, 2022","['Drama', 'Girls Love', 'Slice of Life']",[],"Usui, Shio (Story & Art)",9,"[8, 1, 0]"
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san (Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte),7.73,1941,1568,2976,"6,615",51,Unknown,Unknown,Publishing,"Jun  5, 2019 to ?","['Comedy', 'Fantasy', 'Romance']",[],"Sakaki, Rumiwo (Art), Enoshima, Suzu (Story)",3,"[3, 0, 0]"
"Dousei Yankee Akamatsu Seven (Bad Boys, Happy Home)",7.73,866,1569,8145,"2,167",49,3,17,Finished,"Apr  1, 2018 to Dec  1, 2020","['Boys Love', 'Slice of Life']",[],"SHOOWA (Story), Okujima, Hiromasa (Art)",4,"[4, 0, 0]"
Ikemen Girl to Hakoiri Musume (Handsome Girl and Sheltered Girl),7.73,6756,1570,1330,"14,132",265,2,14,Finished,"Sep  27, 2019 to Oct  27, 2020","['Comedy', 'Girls Love']",[],"majoccoid (Art), Mochi Au Lait (Story)",4,"[4, 0, 0]"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizokuin Gaiden (Ascendance of a Bookworm: I'll do Anything to Become a Librarian! - Royal Academy Stories),7.73,115,1571,31225,226,0,1,18,On Hiatus,"Oct  10, 2018",[],[],"Shiina, You (Art), Kazuki, Miya (Story)",0,"[0, 0, 0]"
Tenki no Ko (Weathering with You),7.73,2689,1572,2644,"7,433",98,3,15,Finished,"Jul  25, 2019 to Aug  25, 2020","['Drama', 'Fantasy', 'Romance', 'Slice of Life']",[],"Shinkai, Makoto (Story), Kubota, Wataru (Art)",2,"[1, 1, 0]"
Ore ga Watashi ni Naru made,7.73,842,1573,7005,"2,601",78,Unknown,Unknown,Publishing,"Mar  26, 2019 to ?","['Drama', 'Slice of Life']","['Magical Sex Shift', 'School']","Satou, Hatsuki (Story & Art)",6,"[5, 1, 0]"
Kaijuu 8-gou (Kaiju No. 8),7.73,47924,1574,87,"128,517","3,239",Unknown,Unknown,Publishing,"Jul  3, 2020 to ?","['Action', 'Sci-Fi']",[],"Matsumoto, Naoya (Story & Art)",49,"[29, 9, 11]"
Monotone Blue,7.73,1706,1575,5478,"3,448",91,1,11,Finished,"Jun  28, 2019 to Feb  27, 2021","['Boys Love', 'Supernatural']","['Anthropomorphic', 'School']",Nagabe (Story & Art),2,"[1, 1, 0]"
Yamada to Shounen (Yamada and the Boy),7.73,3724,1587,2603,"7,542",69,1,8,Finished,"Dec  21, 2013 to Apr  22, 2015","['Boys Love', 'Slice of Life']",[],"Mita, Ori (Story & Art)",3,"[3, 0, 0]"
Enen no Shouboutai (Fire Force),7.73,45340,1588,121,"106,223","2,971",34,305,Finished,"Sep  23, 2015 to Feb  22, 2022","['Action', 'Supernatural']",[],"Ookubo, Atsushi (Story & Art)",26,"[14, 8, 4]"
Koushaku Reijou no Tashinami (Accomplishments of the Duke's Daughter),7.73,5094,1589,1041,"17,095",314,Unknown,Unknown,Publishing,"Dec  22, 2015 to ?",[],[],"Reia (Story), Umemiya, Suki (Art)",12,"[8, 2, 2]"
Boku no Hero Academia: Yuuei Hakusho (My Hero Academia: School Briefs),7.73,1374,1590,3281,"6,042",80,Unknown,Unknown,Publishing,"Apr  4, 2016 to ?",[],"['School', 'Super Power']","Horikoshi, Kouhei (Art), Yoshi, Anri (Story)",2,"[1, 1, 0]"
Eiga Koe no Katachi Special Book,7.73,4197,1591,2293,"8,448",56,1,Unknown,Finished,"Sep  17, 2016",[],[],"Ooima, Yoshitoki (Story & Art)",2,"[2, 0, 0]"
Hoankan Evans no Uso: Dead or Love (Lies of the Sheriff Evans: Dead or Love),7.73,2140,1592,2511,"7,760",91,20,257,Finished,"Apr  12, 2017 to Apr  20, 2022","['Action', 'Comedy', 'Romance']",[],"Kuriyama, Mizuki (Story & Art)",8,"[8, 0, 0]"
New Danganronpa V3: Minna no Koroshiai Shingakki Comic Anthology,7.73,1176,1593,4950,"3,862",128,3,43,Finished,"Apr  25, 2017 to Nov  25, 2017","['Comedy', 'Drama', 'Mystery']",[],"Mutou, Tamura (Story & Art), Suzuka (Story & Art), Nagao, Uka (Story & Art), Arikawa, Kinu (Story & Art), Hakuri (Story & Art), Miwasiba (Story & Art), 9℃ (Story & Art), Takada, Fumiko (Story & Art), Yoichi (Story & Art), Itagaki, Hako (Story & Art), Manio (Story & Art), Risuno (Story & Art), Watarizora, Tsubamemaru (Story & Art)",3,"[2, 1, 0]"
Kidou Keisatsu Patlabor (Mobile Police Patlabor),7.73,530,1547,7606,"2,359",41,22,91,Finished,"Mar  23, 1988 to May  11, 1994","['Action', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",[],"Yuuki, Masami (Story & Art)",1,"[0, 1, 0]"
Yami no Matsuei (Descendants of Darkness),7.73,3153,1548,2576,"7,608",329,13,Unknown,On Hiatus,"Mar  25, 1994 to Jan  24, 2015","['Boys Love', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Supernatural']","['Mythology', 'Psychological']","Matsushita, Yoko (Story & Art)",4,"[4, 0, 0]"
Kurosagi Shitai Takuhaibin (The Kurosagi Corpse Delivery Service),7.73,2125,1549,1290,"14,466",285,Unknown,Unknown,Publishing,2000 to ?,"['Comedy', 'Drama', 'Horror', 'Mystery', 'Supernatural']",[],"Otsuka, Eiji (Story), Yamazaki, Housui (Art)",3,"[3, 0, 0]"
Swan,7.73,391,1550,8785,"1,960",44,21,208,Finished,Nov  1976 to Apr  1981,"['Drama', 'Romance']",[],"Ariyoshi, Kyouko (Story & Art)",1,"[1, 0, 0]"
Superior,7.73,7944,1551,848,"20,760",344,9,28,Finished,"Jun  24, 2004 to Feb  21, 2009","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",[],ichtys (Story & Art),5,"[3, 1, 1]"
You're So Cool,7.73,2042,1552,4498,"4,279",61,6,34,Finished,2002 to  2007,"['Comedy', 'Romance']",[],"Lee, Young Hui (Story & Art)",8,"[8, 0, 0]"
Koukaku no Regios,7.73,1010,1553,4857,"3,945",62,25,157,Finished,"Mar  18, 2006 to Sep  20, 2013","['Fantasy', 'Sci-Fi']",[],"Amagi, Shuusuke (Story), Miyuu (Art)",0,"[0, 0, 0]"
Umimachi Diary,7.73,367,1554,6053,"3,075",27,9,37,Finished,"Jun  28, 2006 to Sep  28, 2018","['Award Winning', 'Drama', 'Slice of Life']",[],"Yoshida, Akimi (Story & Art)",1,"[1, 0, 0]"
Joou no Hana,7.73,1323,1555,2760,"7,117",52,15,44,Finished,"Oct  13, 2007 to Dec  13, 2016","['Adventure', 'Award Winning', 'Romance']",[],"Izumi, Kaneyoshi (Story & Art)",2,"[1, 1, 0]"
Running on Empty,7.73,2196,1556,3993,"4,914",52,2,12,Finished,2008,[],[],"Kim, Jea-Eun (Story & Art)",4,"[3, 0, 1]"
Suki desu Suzuki-kun!!,7.73,5094,1557,1544,"12,477",274,18,95,Finished,"Aug  20, 2008 to Jun  20, 2012","['Drama', 'Romance']",[],"Ikeyamada, Go (Story & Art)",7,"[5, 1, 1]"
Grappler Baki,7.73,11391,1558,669,"25,633",583,42,371,Finished,1991 to  1999,[],"['Gore', 'Martial Arts']","Itagaki, Keisuke (Story & Art)",9,"[6, 3, 0]"
Heart no Kuni no Alice: Wonderful Wonder World (Alice in the Country of Hearts),7.73,13184,1559,589,"28,968","1,117",6,36,Finished,"2008 to Sep  15, 2010","['Fantasy', 'Romance']","['Harem', 'Reverse Harem']","Hoshino, Soumei (Art), QuinRose (Story)",14,"[11, 1, 2]"
Sidonia no Kishi (Knights of Sidonia),7.73,10466,1560,532,"31,577",870,15,78,Finished,"Apr  25, 2009 to Sep  25, 2015","['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']","Nihei, Tsutomu (Story & Art)",19,"[11, 4, 4]"
Prunus Girl,7.73,10364,1561,757,"22,834",846,6,43,Finished,"Feb  22, 2008 to Apr  22, 2013","['Comedy', 'Romance']","['Crossdressing', 'School']","Matsumoto, Tomoki (Story & Art)",12,"[10, 1, 1]"
Chibi Maruko-chan,7.73,290,1562,15987,844,20,15,120,Finished,Aug  1986 to Apr  2009,"['Award Winning', 'Comedy']",[],"Sakura, Momoko (Story & Art)",0,"[0, 0, 0]"
Zekkyou Gakkyuu,7.73,2790,1563,1763,"10,776",214,20,81,Finished,"Sep  3, 2008 to Feb  3, 2015","['Award Winning', 'Horror', 'Supernatural']",[],"Ishikawa, Emi (Story & Art)",6,"[6, 0, 0]"
Shinya Shokudou,7.73,648,1580,6618,"2,789",57,Unknown,Unknown,Publishing,"Oct  12, 2006 to ?","['Award Winning', 'Gourmet', 'Slice of Life']",[],"Abe, Yarou (Story & Art)",2,"[1, 1, 0]"
Opus,7.73,6039,1581,836,"21,004",438,2,19,Finished,Oct  1995 to Jun  1996,"['Adventure', 'Fantasy']",[],"Kon, Satoshi (Story & Art)",5,"[3, 2, 0]"
Puchimas!: Petit iDOLM@STER,7.73,333,1582,12330,"1,251",63,Unknown,Unknown,Publishing,"Jul  27, 2008 to ?","['Comedy', 'Slice of Life']",[],"Bandai-Namco (Story), Akane (Story & Art)",0,"[0, 0, 0]"
Sakamoto desu ga? (Haven't You Heard? I'm Sakamoto),7.73,13731,1583,508,"33,189",418,4,26,Finished,"Aug  11, 2011 to Dec  14, 2015",[],"['Gag Humor', 'School']","Sano, Nami (Story & Art)",8,"[7, 1, 0]"
Nobunaga no Chef,7.73,1920,1584,3326,"5,989",54,Unknown,Unknown,Publishing,"Mar  4, 2011 to ?","['Comedy', 'Gourmet']","['Historical', 'Time Travel']","Nishimura, Mitsuru (Story), Kajikawa, Takurou (Art)",2,"[2, 0, 0]"
Steins;Gate: Heiji Kyokusen no Epigraph,7.73,534,1585,8894,"1,926",20,2,11,Finished,"Feb  22, 2013 to Dec  27, 2013","['Drama', 'Sci-Fi']",[],"Takimoto, Masashi (Story), Yoshida, Tadasu (Art)",2,"[2, 0, 0]"
ReRe Hello,7.73,6626,1586,957,"18,248",167,11,47,Finished,"Mar  13, 2013 to Sep  13, 2016",[],[],"Minami, Touko (Story & Art)",11,"[9, 2, 0]"
Kore wa Koi no Hanashi,7.72,3756,1625,1945,"9,748",134,11,45,Finished,"Jul  28, 2010 to May  28, 2014","['Drama', 'Romance', 'Slice of Life']",[],Chika (Story & Art),7,"[6, 0, 1]"
Gokusen Kanketsu-hen,7.72,1012,1626,8702,"1,987",5,1,6,Finished,"Dec  28, 2007 to Aug  1, 2009","['Action', 'Comedy', 'Drama', 'Romance']","['Delinquents', 'Workplace']","Morimoto, Kozueko (Story & Art)",1,"[1, 0, 0]"
Kiniro Mosaic,7.72,718,1627,5145,"3,699",114,11,148,Finished,"Apr  19, 2010 to Mar  19, 2020","['Comedy', 'Slice of Life']","['CGDCT', 'School']","Hara, Yui (Story & Art)",1,"[1, 0, 0]"
Nisekoi (Nisekoi: False Love),7.72,111292,1628,37,"195,507","13,334",25,229,Finished,"Nov  7, 2011 to Aug  8, 2016","['Comedy', 'Romance']","['Harem', 'School']","Komi, Naoshi (Story & Art)",119,"[79, 23, 17]"
"Yozora no Sumikko de,",7.72,3382,1629,2597,"7,556",66,1,10,Finished,"Oct  1, 2011 to Mar  30, 2013",[],[],"Hayakawa, Nojiko (Story & Art)",2,"[2, 0, 0]"
Kono Bijutsubu ni wa Mondai ga Aru! (This Art Club Has a Problem!),7.72,6062,1630,785,"22,183",411,Unknown,Unknown,Publishing,"Oct  27, 2012 to ?",[],"['Romantic Subtext', 'School', 'Visual Arts']","Imigi, Muru (Story & Art)",2,"[2, 0, 0]"
Unlucky Mansion,7.72,922,1599,5073,"3,754",50,Unknown,73,Finished,"May  19, 2016 to Jan  4, 2018","['Comedy', 'Romance', 'Slice of Life']",[],Yakguk (Story & Art),1,"[1, 0, 0]"
Bocchi Kaibutsu to Moumoku Shoujo (Beauty and the Beast Girl),7.72,3448,1600,2418,"8,044",165,1,4,Finished,"Jul  18, 2017","['Fantasy', 'Girls Love']",[],Neji (Story & Art),5,"[4, 1, 0]"
Shrink: Seishinkai Yowai,7.72,351,1601,9040,"1,888",15,Unknown,Unknown,Publishing,"Jun  5, 2019 to ?",[],[],"Tsukiko (Art), Nanami, Jin (Story)",1,"[1, 0, 0]"
Star x Fanboy,7.72,927,1602,8235,"2,137",55,4,19,Finished,"Aug  25, 2017 to Jan  4, 2020",[],[],"Kim, Cheomji (Story & Art)",1,"[1, 0, 0]"
"Tantei wa Mou, Shindeiru. (The Detective Is Already Dead)",7.72,1070,1603,2832,"6,928",182,Unknown,Unknown,Publishing,"Nov  25, 2019 to ?","['Comedy', 'Drama', 'Mystery', 'Romance']",[],"Umibouzu (Art), Nigojuu (Story)",6,"[5, 1, 0]"
Seishun Buta Yarou wa Logical Witch no Yume wo Minai (Rascal Does Not Dream of Logical Witch),7.72,476,1604,8406,"2,081",17,2,12,Finished,"Aug  1, 2020 to May  19, 2022","['Comedy', 'Romance']",[],"Kamoshida, Hajime (Story), Akina, Tsukako (Art)",0,"[0, 0, 0]"
Fool Night,7.72,719,1605,3954,"4,962",45,Unknown,Unknown,Publishing,"Nov  13, 2020 to ?","['Drama', 'Sci-Fi']",[],"Yasuda, Kasumi (Story & Art)",2,"[2, 0, 0]"
Happily Ever Afterwards,7.72,1593,1607,5366,"3,519",64,Unknown,89,Finished,"Dec  15, 2020 to Sep  27, 2022","['Comedy', 'Fantasy', 'Romance']","['Isekai', 'Reincarnation']","Jeongseo (Art), Hwang, Dotol (Story)",3,"[3, 0, 0]"
Chio-chan no Tsuugakuro (Chio's School Road),7.72,3246,1631,1695,"11,252",130,9,53,Finished,"Apr  5, 2014 to Sep  5, 2018",[],[],"Kawasaki, Tadataka (Story & Art)",4,"[4, 0, 0]"
Suijin no Hanayome (The Water Dragon's Bride),7.72,3700,1632,1742,"10,925",205,11,45,Finished,"Feb  24, 2015 to Sep  22, 2018","['Drama', 'Fantasy', 'Romance', 'Supernatural']",[],"Touma, Rei (Story & Art)",6,"[6, 0, 0]"
Shugo Chara!,7.72,19164,1608,434,"38,080","1,786",12,55,Finished,"Dec  28, 2005 to Aug  3, 2010","['Award Winning', 'Comedy', 'Romance', 'Supernatural']","['Mahou Shoujo', 'School']",PEACH‐PIT (Story & Art),12,"[9, 2, 1]"
Rekka no Honoo (Flame of Recca),7.72,6751,1609,1254,"14,761",362,33,330,Finished,"Mar  22, 1995 to Oct  30, 2002","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",[],"Anzai, Nobuyuki (Story & Art)",7,"[6, 1, 0]"
Peace Maker Kurogane,7.72,1510,1610,3712,"5,304",125,Unknown,Unknown,Publishing,"Feb  28, 2002 to ?",[],"['Historical', 'Samurai']","Chrono, Nanae (Story & Art)",2,"[2, 0, 0]"
Trigun,7.72,14686,1611,452,"36,650",794,3,22,Finished,"Apr  22, 1995 to Jan  22, 1997","['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",[],"Nightow, Yasuhiro (Story & Art)",8,"[4, 2, 2]"
Lovers and Souls (Lovers and Souls; Vanity),7.72,1033,1612,8094,"2,185",26,1,5,Finished,2002 to ?,"['Boys Love', 'Drama', 'Slice of Life']",[],"Miyamoto, Kano (Story & Art)",0,"[0, 0, 0]"
GS Mikami: Gokuraku Daisakusen!!,7.72,1321,1613,5495,"3,440",68,39,390,Finished,"Apr  17, 1991 to Sep  8, 1999","['Action', 'Award Winning', 'Comedy', 'Supernatural']",[],"Shiina, Takashi (Story & Art)",4,"[3, 0, 1]"
Rokudenashi Blues (Good-For-Nothing Blues),7.72,1557,1613,2050,"9,284",152,42,422,Finished,"May  17, 1988 to Feb  4, 1997","['Action', 'Comedy', 'Drama', 'Sports']","['Combat Sports', 'Delinquents', 'School']","Morita, Masanori (Story)",2,"[2, 0, 0]"
