Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Strike the Blood,7.6,908,2237,3384,5862,101,22,157,Finished,"['Action', 'Fantasy', 'Supernatural', 'Ecchi']","['Mikumo Gakuto', 'Manyako']",0,0,0,2011-05-10,2020-08-07
The iDOLM@STER,7.6,320,2238,11585,1359,26,6,42,Finished,"['Comedy', 'Drama']","['Bandai-Namco', 'Takahashi Tatsuya', 'mana']",0,0,0,2012-08-27,2016-08-27
Darwin's Game,7.6,15763,2240,327,48238,1025,30,28,Finished,"['Action', 'Mystery']",['FLIPFLOPs'],6,0,1,2012-12-12,2023-10-12
Sakura Trick,7.6,2702,2241,1896,9959,176,8,84,Finished,"['Comedy', 'Girls Love', 'Slice of Life']",['Tachi'],0,0,0,2011-03-16,2017-08-16
Konohana Kitan,7.6,334,2213,6604,2796,58,4,28,Publishing,"['Fantasy', 'Girls Love', 'Slice of Life']",['Amano Sakuya'],1,0,0,2014-12-29,2023-12-11
Youkai Gakkou no Sensei Hajimemashita! (A Terrified Teacher at Ghoul School!),7.6,587,2214,4346,4447,84,4,28,Publishing,"['Comedy', 'Fantasy']",['Tanaka Mai'],4,0,1,2014-11-18,2023-12-11
Hoshi dake ga Shitteru (Only the Stars Know),7.6,1535,2217,5602,3364,19,1,7,Finished,"['Boys Love', 'Slice of Life']",['Furuya Nagisa'],3,0,0,2016-01-22,2017-01-21
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen (Our Last Crusade or the Rise of a New World)",7.6,868,2218,3605,5453,93,4,28,Publishing,"['Action', 'Fantasy', 'Romance']","['Sazane Kei', 'Nekonabe Ao']",1,0,0,2017-05-20,2023-12-11
Gaikotsu to Koi wa Dekiru no ka?,7.6,1570,2226,7095,2561,14,4,1,Finished,"['Fantasy', 'Romance']","['Kohigashi Nora', 'Shugyou Kouta']",3,0,0,2022-04-08,2023-12-11
My Reason to Die,7.6,971,2227,5174,3667,68,4,28,Publishing,"['Drama', 'Romance']",['Yuju'],0,0,0,2021-12-07,2023-12-11
Kaguhara-san no Feti Note,7.6,515,2228,7425,2436,30,4,28,Publishing,"['Comedy', 'Girls Love', 'Ecchi']",['Kito Sakeru'],1,0,0,2021-10-29,2023-12-11
The Reaper,7.6,2639,2229,2648,7406,80,4,28,Publishing,"['Action', 'Fantasy']","['Woogack', 'Inkyo']",1,1,0,2022-07-15,2023-12-11
Boku no Suki na Hito ga Suki na Hito,7.6,584,2230,7150,2540,13,4,28,Publishing,"['Comedy', 'Romance']","['Aoi Sekina', 'Tsuzura Ryou']",3,0,0,2022-11-09,2023-12-11
Sennen no Yuki (Millennium Snow),7.59,7657,2269,1087,16518,212,4,18,Finished,"['Comedy', 'Drama', 'Romance', 'Supernatural']",['Hatori Bisco'],8,3,0,2000-11-24,2013-12-10
Ueki no Housoku (The Law of Ueki),7.6,3761,2194,1958,9644,162,16,154,Finished,"['Action', 'Comedy']",['Fukuchi Tsubasa'],3,0,0,2001-07-23,2004-10-20
Shakugan no Shana,7.6,3584,2195,1866,10121,220,10,71,Finished,"['Action', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Sasakura Ayato', 'Takahashi Yashichiro']",1,0,0,2005-02-21,2011-08-27
Rosario to Vampire (Rosario+Vampire),7.6,49912,2196,143,94375,3563,10,40,Finished,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']",['Ikeda Akihisa'],26,10,4,2004-07-06,2007-05-05
Peter Pan♠Syndrome,7.6,2275,2197,4237,4570,29,2,10,Finished,"['Fantasy', 'Romance', 'Supernatural']",['Sakai Mayu'],4,0,0,2004-12-28,2005-09-03
Amatsuki,7.6,2909,2198,1666,11470,216,24,158,Finished,"['Action', 'Fantasy', 'Supernatural']",['Takayama Shinobu'],4,0,1,2004-07-28,2017-08-28
Hoshi wa Utau (Twinkle Stars),7.6,2902,2200,2309,8378,116,11,66,Finished,"['Drama', 'Romance']",['Takaya Natsuki'],5,1,1,2007-06-05,2011-01-20
Black Bird,7.6,22823,2201,313,49655,2010,18,84,Finished,"['Action', 'Award Winning', 'Drama', 'Romance', 'Supernatural']",['Sakurakouji Kanoko'],29,10,6,2006-07-13,2012-12-13
Watashi no Messiah-sama,7.6,2472,2202,3221,6141,112,13,64,Finished,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Ecchi']",['Minazuki Suu'],6,0,0,2002-01-12,2007-09-10
Change 123,7.6,9398,2205,891,19593,320,12,60,Finished,"['Action', 'Comedy', 'Ecchi']","['Sakaguchi Iku', 'Iwasawa Shiuri']",12,2,0,2005-06-19,2010-04-19
24 Colors: Hatsukoi no Palette,7.6,8018,2206,1346,13922,133,1,5,Finished,"['Comedy', 'Romance']",['Chiba Kozue'],7,1,0,2008-02-05,2008-04-05
Issho ni Neyou yo,7.6,1425,2207,5216,3639,40,6,35,Finished,"['Comedy', 'Romance']",['Takao Shigeru'],4,1,1,2008-06-05,2011-11-05
Vampire Knight: Noir no Wana (Vampire Knight: The Noir Trap),7.6,886,2209,4824,3974,66,1,3,Finished,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']","['Hino Matsuri', 'Fujisaki Ayuna']",0,0,0,2008-10-03,2023-12-11
Defense Devil,7.6,17641,2211,443,37449,759,10,100,Finished,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Ecchi']","['Yoon In-Wan', 'Yang Kyung-il']",5,9,2,2009-04-22,2011-06-10
Shoujo Jiten,7.6,277,2242,11259,1413,38,3,17,On Hiatus,"['Comedy', 'Drama', 'Supernatural']",['Yasui Marie'],0,0,0,2017-05-29,2019-09-16
Nettaigyo wa Yuki ni Kogareru (A Tropical Fish Yearns for Snow),7.6,5932,2243,899,19408,465,9,34,Finished,"['Girls Love', 'Slice of Life']",['Hagino Makoto'],7,3,0,2017-06-27,2021-03-27
Awairo Emaki (Faded Picture Scroll),7.6,946,2244,8810,1952,29,1,6,Finished,"['Adventure', 'Boys Love', 'Supernatural']",['Fujitobi'],3,0,0,2016-12-22,2017-12-25
Tondemo Skill de Isekai Hourou Meshi: Sui no Daibouken (Campfire Cooking in Another World with My Absurd Skill: Sui's Great Adventure),7.6,591,2245,7543,2390,7,4,28,Publishing,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']","['Eguchi Ren', 'Futaba Momo']",0,0,0,2018-08-24,2023-12-11
Ponkotsu Fuuki Iin to Skirt-take ga Futekisetsu na JK no Hanashi,7.6,6254,2246,886,19759,204,4,28,Publishing,"['Comedy', 'Romance']",['Yokota Takuma'],7,1,0,2019-03-26,2023-12-11
Moon You,7.6,596,2248,11701,1337,31,4,68,Finished,"['Comedy', 'Drama', 'Sci-Fi']",['Jo Seok'],1,0,0,2016-06-16,2017-09-28
Id:Invaded: #Brake-Broken (ID:Invaded #Brake-Broken),7.6,1012,2249,4789,4008,62,3,14,Finished,"['Drama', 'Mystery', 'Sci-Fi']","['Maijou Outarou', 'Kodama Yuuki']",3,0,0,2019-10-04,2020-11-04
Usotsuki Satsuki wa Shi ga Mieru,7.6,2220,2250,2342,8259,169,4,28,Publishing,"['Horror', 'Supernatural']",['Ryouko'],4,1,0,2020-05-20,2023-12-11
Toumei Ningen no Hone,7.59,2751,2252,2874,6829,133,4,22,Finished,"['Drama', 'Supernatural']",['Ogino Jun'],7,0,0,2017-09-26,2018-03-13
Heterogenia Linguistic: Ishuzoku Gengogaku Nyuumon (Heterogenia Linguistico),7.59,963,2253,3782,5196,40,4,28,Publishing,"['Fantasy', 'Slice of Life']",['Seno Salt'],1,0,0,2018-03-09,2023-12-11
"Owari no Seraph: Ichinose Guren, 19-sai no Sekai Resurrection (Seraph of the End: Guren Ichinose, Resurrection at Nineteen)",7.59,215,2254,9335,1819,30,4,28,Publishing,"['Action', 'Drama', 'Supernatural']","['Kagami Takaya', 'Asami You']",2,0,0,2017-12-27,2023-12-11
Sannensa (Three Years Apart),7.59,1939,2256,3658,5373,32,3,74,Finished,"['Comedy', 'Romance', 'Slice of Life']",['Shimazaki Mujirushi'],2,0,0,2018-08-22,2020-04-22
Gilgamesh,7.59,686,2257,9603,1754,25,6,129,Finished,"['Action', 'Adventure', 'Fantasy']",['Hwandaeng'],2,0,0,2015-08-31,2017-12-11
Tokyo Aliens,7.59,1140,2260,2617,7493,162,4,28,Publishing,"['Action', 'Sci-Fi']",['NAOE'],2,0,0,2020-04-17,2023-12-11
Tengen Toppa Gurren Lagann: Kessen! Otokogumi-hen,7.59,131,2294,22148,479,4,4,23,Finished,"['Action', 'Comedy']","['Nakashima Kazuki', 'Nonoyama Saki']",0,0,0,2015-06-01,2017-06-01
Sword Art Online: Hollow Realization,7.6,401,2215,9644,1747,9,6,38,Finished,"['Action', 'Fantasy']",['Hirokawa Tomo'],0,0,0,2016-10-24,2019-09-27
Musuko ga Kawaikute Shikataganai Mazoku no Hahaoya,7.59,4584,2296,1069,16777,178,9,220,Finished,"['Comedy', 'Fantasy', 'Supernatural']",['Zyugoya'],4,0,0,2016-05-25,2020-07-22
Marry Me!,7.59,1869,2298,3479,5675,58,11,101,Finished,"['Romance', 'Slice of Life']",['Miku Yuuki'],1,0,0,2015-07-26,2019-05-12
Isekai Shokudou (Restaurant to Another World),7.59,1448,2299,4459,4326,45,4,29,Finished,"['Comedy', 'Fantasy', 'Gourmet', 'Mystery']","['Inuzuka Junpei', 'Kugatsu Takaaki']",0,0,0,2016-11-18,2019-06-21
Soredemo Boku wa Kimi ga Suki (Forget Me Not),7.59,4922,2261,1173,15432,339,7,44,Finished,"['Drama', 'Romance']","['Emoto Nao', 'Hsu Yu Ting']",8,1,1,2013-12-11,2016-03-09
Inuyashiki,7.59,24716,2263,262,58850,902,10,85,Finished,"['Drama', 'Sci-Fi']",['Oku Hiroya'],23,4,2,2014-01-28,2017-07-25
"Baby, Kokoro no Mama ni!",7.59,861,2264,6077,3067,21,4,28,Publishing,"['Comedy', 'Slice of Life']",['Okuyama Puku'],1,0,0,2012-11-01,2023-12-11
Kid I Ruck!,7.59,347,2266,16175,828,20,3,23,Finished,"['Comedy', 'Drama']",['Osada Yu-Ko'],1,1,0,2012-06-01,2013-06-07
Shuffle!,7.59,131,2267,22957,445,6,7,28,Finished,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Ecchi']","['Kusaka Shiroi', 'Nishimata Aoi', 'Navel', 'Ogata Seishi']",0,0,0,2004-06-08,2006-01-10
Shinmai Shimai no Futari Gohan,7.59,1147,2268,3599,5467,50,4,28,Publishing,"['Gourmet', 'Slice of Life']",['Hiiragi Yutaka'],1,0,0,2015-06-27,2023-12-11
Usotsuki Lily (Liar Lily),7.59,6157,2303,1043,17031,252,17,119,Finished,"['Comedy', 'Romance']",['Komura Ayumi'],5,0,0,2009-11-05,2014-05-02
Mikakunin de Shinkoukei,7.59,1559,2304,2223,8692,89,4,28,Publishing,"['Comedy', 'Romance', 'Slice of Life', 'Supernatural']",['Arai Cherry'],0,0,0,2009-04-22,2023-12-11
Bloody Monday: Last Season,7.59,3719,2305,2273,8499,46,4,37,Finished,"['Action', 'Drama', 'Romance', 'Sci-Fi']","['Kibayashi Shin', 'Megumi Kouji']",0,1,1,2011-06-15,2012-03-28
Fate/Apocrypha,7.59,1187,2307,3602,5464,104,5,26,Finished,"['Action', 'Drama', 'Supernatural']","['Higashide Yuuichirou', 'Konoe Ototsugu']",1,0,0,2012-12-29,2014-12-30
Kamisama no Inai Nichiyoubi,7.59,228,2308,8709,1985,13,9,45,Finished,"['Fantasy', 'Mystery']","['Irie Kimihito', 'Shino']",1,0,0,2010-01-20,2014-05-20
Hisohiso: Silent Voice,7.59,470,2309,9608,1752,17,6,35,Finished,"['Drama', 'Supernatural']",['Fujitani Youko'],0,0,0,2010-09-22,2016-03-15
Servant x Service,7.59,1408,2310,3246,6111,35,4,78,Finished,"['Comedy', 'Slice of Life']",['Takatsu Karino'],3,1,0,2007-06-29,2014-06-25
K-On! College,7.59,7638,2311,1175,15426,340,1,14,Finished,"['Comedy', 'Slice of Life']",['Kakifly'],2,0,1,2011-04-09,2012-06-08
Dragon Eye,7.59,827,2270,7163,2533,50,9,31,Finished,"['Action', 'Adventure']",['Fujiyama Kairi'],2,1,0,2005-05-26,2007-11-26
Aa! Megami-sama! (Oh! My Goddess),7.59,6806,2271,1014,17473,762,48,308,Finished,"['Award Winning', 'Comedy', 'Fantasy', 'Romance']",['Fujishima Kousuke'],7,1,0,1988-08-25,2014-04-25
Jigoku Sensei Nube,7.59,1120,2274,5220,3634,44,31,279,Finished,"['Comedy', 'Supernatural']","['Okano Takeshi', 'Makura Shou']",0,0,0,1993-08-24,1999-05-11
"Densha Otoko: Demo, Ore Tabidatsu yo (Densha Otoko: The Story of a Train Man Who Fell in Love With A Girl)",7.59,742,2275,8396,2084,15,3,13,Finished,"['Comedy', 'Romance']","['Nakano Hitori', 'Watanabe Wataru']",0,0,0,2005-01-19,2006-02-18
Shikeishuu 042,7.59,702,2279,8747,1971,19,5,29,Finished,"['Drama', 'Slice of Life']",['Kotegawa Yua'],0,0,0,2002-03-14,2004-12-01
Kokoro ni Hana wo!,7.59,704,2282,9403,1803,3,2,11,Finished,"['Drama', 'Slice of Life']",['Kanno Aya'],2,0,0,2002-12-05,2003-12-26
Needless,7.59,3433,2283,2086,9183,254,16,114,Finished,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Ecchi']",['Imai Kami'],4,0,0,2003-10-18,2013-06-19
s (Mixed Vegetable),7.59,2611,2286,3166,6238,71,8,54,Finished,"['Comedy', 'Gourmet', 'Romance', 'Slice of Life']",['Komura Ayumi'],3,0,0,2005-10-25,2007-11-22
Kaze no Stigma,7.59,700,2287,5895,3172,52,6,39,Finished,"['Action', 'Fantasy', 'Romance']","['Nanto Hanamaru', 'Yamato Takahiro']",0,0,0,2002-01-19,2005-10-20
Kurenai Ouji (Crimson Prince),7.59,1366,2288,3378,5875,77,18,98,Finished,"['Fantasy', 'Supernatural']",['Kuwahara Souta'],4,0,0,2007-04-12,2020-09-12
Taiyou no Uta (A Song to the Sun),7.59,4008,2290,2403,8081,44,1,4,Finished,"['Drama', 'Romance', 'Slice of Life']","['Bandou Kenji', 'Minatuki Tunami']",3,1,0,2006-09-05,2023-12-11
Shiritsu Horitsuba Gakuen,7.59,1113,2291,5440,3476,12,4,28,Publishing,"['Comedy', 'Fantasy']",['CLAMP'],0,0,0,2006-04-26,2023-12-11
Shin Mazinger Zero,7.59,680,2292,8738,1976,69,9,43,Finished,"['Action', 'Adventure', 'Sci-Fi']","['Tabata Yoshiaki', 'Nagai Go', 'Yugo Yuuki']",0,1,0,2009-04-18,2012-10-19
Vamp!,7.59,251,2293,7987,2220,28,5,38,On Hiatus,"['Comedy', 'Fantasy', 'Horror']","['Narita Ryohgo', 'Enami Katsumi']",2,0,0,2004-05-10,2010-10-09
Ano Ko no Kodomo (My Girlfriend's Child),7.59,184,2312,10037,1662,9,4,28,Publishing,"['Award Winning', 'Drama', 'Romance']",['Aoi Mamoru'],0,0,0,2021-05-13,2023-12-11
I'm the Max-Level Newbie,7.58,6467,2319,941,18676,231,4,28,Publishing,"['Action', 'Fantasy']","['Maslow', 'Swing Bat']",2,2,0,2021-07-29,2023-12-11
Level Up with the Gods,7.59,3864,2313,1725,11059,109,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Heuk Ain', 'Ohyeon']",1,0,0,2021-08-14,2023-12-11
Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,7.59,934,2314,5278,3595,27,4,28,Publishing,"['Comedy', 'Romance']","['Takata', 'Ono Rin']",0,0,0,2022-07-27,2023-12-11
Youchien Wars (Kindergarten Wars),7.59,1833,2315,2670,7355,66,4,28,Publishing,"['Action', 'Comedy']",['Chiba Yuu'],2,0,0,2022-09-15,2023-12-11
Romance 101 Spin-Off,7.59,124,2317,27995,292,0,1,6,Finished,"['Comedy', 'Romance']",['Namsu'],0,0,0,2021-05-31,2021-07-05
JoJo no Kimyou na Bouken: Crazy Diamond no Akuryou-teki Shitsuren,7.58,2854,2318,2505,7771,51,3,16,Finished,"['Action', 'Adventure']","['Kadono Kouhei', 'Karasuma Tasuku']",2,0,0,2021-12-18,2023-05-19
Dr. Stone: Terraforming,7.58,2084,2320,5261,3608,5,4,1,Finished,"['Adventure', 'Sci-Fi']","['Inagaki Riichiro', 'Boichi']",1,0,0,2022-07-04,2023-12-11
Nagi no Asu kara,7.58,799,2356,4996,3823,40,6,36,Finished,"['Drama', 'Fantasy', 'Romance']",['Maeda Risou'],0,0,0,2013-04-27,2016-03-26
86 (86—Eighty-Six),7.58,1193,2349,2746,7142,100,4,28,Publishing,"['Action', 'Drama']","['Yoshihara Motoki', 'Asato Asato']",0,0,0,2018-02-16,2023-12-11
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii? (An Archdemon's Dilemma: How to Love Your Elf Bride)",7.58,7103,2350,759,22803,262,4,28,Publishing,"['Action', 'Fantasy', 'Romance']","['Teshima Fuminori', 'Itagaki Hako']",3,1,0,2018-02-23,2023-12-11
Hoshikuzu Telepath,7.59,277,2258,8488,2055,28,4,28,Publishing,"['Comedy', 'Girls Love', 'Sci-Fi', 'Slice of Life']",['Ookuma Rasuko'],0,0,0,2019-06-09,2023-12-11
Online Game Nakama to Sashi Off shitara Shokuba no Oni Joushi ga Kita (Turns Out My Online Friend is My Real-Life Boss!),7.58,1228,2352,6098,3058,30,4,28,Publishing,"['Boys Love', 'Comedy']",['Nmura'],4,1,0,2020-03-13,2023-12-11
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Shin,7.59,285,2259,12468,1231,59,6,28,Finished,"['Comedy', 'Romance']","['Watari Wataru', 'Ponkan⑧']",0,0,0,2020-09-25,2021-03-26
Onna Tomodachi to Kekkon Shitemita. (I Married My Female Friend),7.58,1085,2353,5170,3674,29,4,28,Publishing,"['Girls Love', 'Slice of Life']",['Usui Shio'],0,0,0,2020-11-18,2023-12-11
Liang Bu Yi (No Doubt In Us),7.58,181,2354,23585,423,12,4,28,Finished,"['Comedy', 'Romance']","['Lu Ye Qian He', 'You Zhi Jiaozi']",1,0,0,2016-07-15,2019-09-01
Yojouhan Shinwa Taikei (The Tatami Galaxy),7.58,130,2355,17988,696,17,1,4,Finished,"['Comedy', 'Mystery', 'Romance']",['Morimi Tomihiko'],0,1,0,2004-12-11,2023-12-11
Subaru to Suu-san,7.59,484,2297,7944,2234,13,6,39,Finished,"['Fantasy', 'Romance']",['Takahashi Natsuko'],2,0,0,2016-08-12,2022-04-15
Koroshi Ai (Love of Kill),7.58,4111,2368,1025,17380,284,13,93,Finished,"['Action', 'Romance']",['Fe'],7,0,0,2015-10-15,2023-01-14
Henkyou no Roukishi Bard Loen,7.58,1313,2369,4041,4851,28,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Kikuishi Morio', 'Shienbis']",4,0,0,2016-09-06,2023-12-11
Zipang,7.58,735,2323,5794,3232,55,43,422,Finished,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",['Kawaguchi Kaiji'],0,0,0,2000-07-27,2009-11-05
Buraiden Gai,7.58,2661,2324,3528,5585,84,5,38,Finished,"['Action', 'Drama']",['Fukumoto Nobuyuki'],3,0,0,2000-03-15,2001-01-24
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.58,583,2326,6420,2888,55,200,1957,Finished,"['Award Winning', 'Comedy']",['Akimoto Osamu'],1,0,0,1976-09-21,2016-09-17
Nagasarete Airantou,7.58,3039,2328,2184,8809,190,4,28,Publishing,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']",['Fujishiro Takeshi'],1,1,0,2001-12-12,2023-12-11
Venus wa Kataomoi (Venus in Love),7.58,636,2329,8351,2099,43,12,58,Finished,"['Comedy', 'Drama', 'Romance']",['Nakaji Yuki'],3,0,0,1999-11-05,2004-07-05
Minami-ke,7.58,1782,2330,2914,6749,97,4,28,Publishing,"['Comedy', 'Slice of Life']",['Sakuraba Coharu'],1,1,0,2004-11-05,2023-12-11
Nousatsu Rock Shounen,7.58,2687,2331,3783,5196,35,4,20,Finished,"['Comedy', 'Romance']",['Kikuchi Kamaro'],1,1,0,2005-02-12,2013-06-24
Ojousama wa Oyome-sama.,7.58,2333,2336,2534,7710,29,18,122,Finished,"['Drama', 'Romance']",['Hazuki Megumi'],1,0,0,2007-07-20,2013-03-05
Barairo My Honey,7.58,2642,2337,3801,5170,34,3,15,Finished,"['Romance', 'Supernatural']",['Ohmi Tomu'],2,0,0,2005-04-08,2006-04-08
Strike Witches: Suomus Iran-ko Chuutai Series,7.58,170,2341,17239,746,16,3,27,Finished,"['Action', 'Drama', 'Fantasy', 'Girls Love', 'Romance', 'Sci-Fi']","['Yamaguchi Noboru', 'Shimada Humikane']",0,0,0,2006-10-01,2008-07-01
No.5,7.58,954,2342,3647,5394,78,8,37,Finished,"['Sci-Fi', 'Suspense']",['Matsumoto Taiyou'],1,0,0,2000-11-30,2005-10-25
He's Dedicated to Roses,7.58,5614,2343,1818,10443,138,11,28,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['Hwang Mi Ri'],12,1,2,2007-01-26,2007-02-10
Nagato Yuki-chan no Shoushitsu (The Disappearance of Nagato Yuki-chan),7.58,2946,2344,2340,8265,345,10,79,Finished,"['Comedy', 'Romance']",['Puyo'],7,2,0,2009-07-04,2016-08-04
S・L・H,7.58,5128,2345,1615,11843,176,5,20,Finished,"['Comedy', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",['Shouoto Aya'],11,0,0,2008-05-21,2010-07-22
Dokuhime,7.58,2273,2346,2979,6609,123,5,36,Finished,"['Drama', 'Fantasy', 'Horror', 'Romance']",['Mihara Mitsukazu'],5,2,2,2002-10-12,2012-10-13
Hetakoi,7.58,7676,2359,1162,15552,185,10,61,Finished,"['Comedy', 'Drama', 'Romance', 'Ecchi']",['Nakano Junko'],14,1,4,2007-10-19,2012-04-19
Machine-Doll wa Kizutsukanai,7.58,4473,2360,1208,15145,139,9,28,On Hiatus,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Kaitou Reiji', 'Takagi Hakaru']",2,0,0,2010-04-27,2017-07-27
Kanojo no Namida ga Yuki da Toshitara,7.58,1388,2361,6605,2796,11,1,4,Finished,"['Drama', 'Romance']",['Minamori Koyomi'],0,1,0,2004-08-26,2009-12-25
Nagareboshi Lens (Shooting Star☆Lens),7.58,2581,2362,2110,9101,73,10,56,Finished,"['Comedy', 'Romance']",['Murata Mayu'],2,1,0,2010-12-28,2014-07-03
Youkai Apartment no Yuuga na Nichijou (Elegant Yokai Apartment Life),7.58,997,2363,4685,4100,41,4,28,Publishing,"['Drama', 'Supernatural']","['Kouzuki Hinowa', 'Miyama Waka']",0,0,0,2011-05-26,2023-12-11
Green Blood,7.58,11769,2364,516,32721,531,5,49,Finished,"['Action', 'Suspense']",['Kakizaki Masasumi'],9,1,0,2011-06-13,2013-05-13
Dimension W,7.58,3511,2365,1269,14634,291,16,116,Finished,"['Action', 'Sci-Fi']",['Iwahara Yuji'],3,0,0,2011-09-16,2019-06-25
Gakusen Toshi Asterisk (The Asterisk War),7.58,1372,2366,2884,6802,101,17,139,Finished,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']","['okiura', 'Miyazaki Yuu']",1,0,0,2012-09-25,2022-06-24
K-On! Highschool,7.58,6300,2367,1478,12905,231,1,14,Finished,"['Comedy', 'Slice of Life']",['Kakifly'],2,1,0,2011-04-28,2012-06-28
Sakuranbo Syndrome - Cupid no Itazura II,7.57,3084,2418,2633,7462,75,11,98,Finished,"['Drama', 'Romance']",['Kitazaki Taku'],8,2,1,2006-07-20,2009-01-24
Kimi no Knife,7.57,4036,2419,1664,11508,114,10,71,Finished,"['Drama', 'Mystery', 'Supernatural']",['Kotegawa Yua'],3,1,0,2009-07-08,2013-04-24
"Yume no Shizuku, Kin no Torikago",7.57,456,2420,8159,2162,13,4,28,Publishing,"['Drama', 'Romance']",['Shinohara Chie'],1,0,0,2010-05-21,2023-12-11
Vahlia no Hanamuko,7.57,3643,2421,2626,7474,32,1,4,Finished,"['Fantasy', 'Romance']",['Akizuki Sorata'],3,0,0,2007-11-24,2011-11-10
Hidan no Aria AA (Aria the Scarlet Ammo Double A),7.57,496,2422,8574,2027,16,14,109,Finished,"['Action', 'Comedy', 'Supernatural']","['Akamatsu Chuugaku', 'Tachibana Shogako']",0,0,0,2010-11-05,2018-05-18
Hana-kun to Koisuru Watashi (When We're in Love),7.57,6939,2423,676,25449,148,10,45,On Hiatus,"['Comedy', 'Romance', 'Slice of Life']",['Kumaoka Fuyu'],6,0,0,2011-04-13,2015-03-13
Kamisama Gakuen@Armeria,7.57,796,2425,6998,2605,45,12,36,Finished,"['Fantasy', 'Romance', 'Supernatural']",['Kakizaki Muku'],2,2,0,2012-01-20,2015-10-20
Kobato. Epilogue: Happiness.,7.57,1079,2426,7121,2552,9,4,1,Finished,"['Fantasy', 'Romance']",['CLAMP'],0,0,0,2011-09-11,2023-12-11
Mix,7.57,795,2427,5792,3233,22,4,28,Publishing,"['Drama', 'Romance', 'Sports']",['Adachi Mitsuru'],3,0,0,2012-05-12,2023-12-11
Hitorijime My Hero,7.57,3618,2429,1537,12521,285,4,28,Publishing,"['Boys Love', 'Slice of Life']",['Arii Memeco'],1,0,0,2011-05-28,2023-12-11
Eizouken ni wa Te wo Dasuna! (Keep Your Hands Off Eizouken!),7.57,554,2380,4528,4261,51,4,28,Publishing,"['Adventure', 'Comedy']",['Oowara Sumito'],1,0,0,2016-07-27,2023-12-11
Koushin Koinu ni Koibumi wo,7.57,2037,2381,3677,5349,108,5,26,Finished,"['Drama', 'Girls Love']",['Tamasaki Tama'],5,0,0,2018-01-18,2020-07-18
Yuzuki-san Chi no Yonkyoudai.,7.57,202,2383,13014,1153,18,4,28,Publishing,"['Award Winning', 'Slice of Life']",['Fujisawa Shizuki'],1,0,0,2018-08-10,2023-12-11
Beast Complex,7.57,2383,2384,3306,6008,61,4,28,Publishing,"['Drama', 'Romance', 'Slice of Life']",['Itagaki Paru'],4,0,0,2016-03-03,2023-12-11
The Makeup Remover,7.57,2474,2386,3294,6030,90,7,26,Finished,"['Comedy', 'Romance']",['Lee Yeon'],2,0,0,2018-05-04,2020-11-12
Shinja Zero no Megami-sama to Hajimeru Isekai Kouryaku (Full Clearing Another World under a Goddess with Zero Believers),7.57,369,2388,13228,1126,48,4,28,Publishing,"['Fantasy', 'Romance']","['Tam-U', 'Osaki Isle']",1,0,0,2019-03-25,2023-12-11
Ao no Hako,7.57,4835,2389,2409,8063,63,4,1,Finished,"['Romance', 'Sports']",['Miura Kouji'],4,0,0,2020-08-03,2023-12-11
"Kiyoku, Yamashiku, Modokashiku.",7.57,442,2391,8138,2169,12,4,28,Publishing,"['Comedy', 'Romance']",['Arihara Nao'],1,0,0,2020-12-11,2023-12-11
Exorcist wo Otosenai (Make the Exorcist Fall in Love),7.57,2108,2393,2662,7373,95,4,28,Publishing,"['Action', 'Fantasy', 'Mystery', 'Romance']","['Fukayama Masuku', 'Arima Aruma']",4,2,1,2021-12-15,2023-12-11
Author of My Own Destiny,7.56,1594,2449,3623,5422,49,4,28,Publishing,"['Fantasy', 'Romance']","['Gyeoulip', 'Jeokbal']",1,0,0,2021-08-31,2023-12-11
