Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Made in Abyss,8.77,52007,37,63,155850,10172,4,28,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['Tsukushi Akihito'],25,13,17,2012-10-20,2023-12-11
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. (My Youth Romantic Comedy Is Wrong, As I Expected)",8.77,19230,38,214,69509,4151,18,168,Finished,"['Comedy', 'Romance']","['Watari Wataru', 'Ponkan⑧']",19,1,3,2011-03-18,2021-04-20
Uchuu Kyoudai (Space Brothers),8.77,7920,39,485,34173,1441,4,28,Publishing,"['Award Winning', 'Drama', 'Sci-Fi']",['Koyama Chuuya'],7,0,0,2007-12-06,2023-12-11
One Punch-Man (One-Punch Man),8.75,230483,40,6,468328,38134,4,28,Publishing,"['Action', 'Comedy']","['Murata Yusuke', 'ONE']",45,10,2,2012-06-14,2023-12-11
Chainsaw Man,8.74,361824,41,4,590292,79578,4,28,Publishing,"['Action', 'Award Winning', 'Supernatural']",['Fujimoto Tatsuki'],273,56,26,2018-12-03,2023-12-11
Kokou no Hito (The Climber),8.74,29602,43,135,97558,5449,17,170,Finished,"['Drama', 'Sports']",['Sakamoto Shinichi'],42,0,3,2007-11-01,2011-10-27
Hunter x Hunter,8.73,121616,44,24,264090,23174,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']",['Togashi Yoshihiro'],34,7,3,1998-03-03,2023-12-11
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),8.73,2887,45,2828,6939,853,6,28,Finished,"['Action', 'Adventure', 'Boys Love', 'Supernatural']",['Mo Xiang Tong Xiu'],2,1,1,2021-02-04,2022-03-31
Hajime no Ippo (Hajime no Ippo: Fighting Spirit!),8.72,35363,46,169,83430,6615,4,28,Publishing,"['Award Winning', 'Sports']",['Morikawa George'],16,3,2,1989-09-27,2023-12-11
Utsuro no Hako to Zero no Maria (The Empty Box and Zeroth Maria),8.71,20057,48,126,101695,5301,7,40,Finished,"['Action', 'Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Suspense']","['Mikage Eiji', 'Tetsuo']",39,5,4,2009-01-10,2015-06-10
Shoujo Shuumatsu Ryokou (Girls' Last Tour),8.7,25231,49,236,64721,5677,6,47,Finished,"['Adventure', 'Award Winning', 'Slice of Life']",['Tsukumizu'],32,2,0,2014-02-21,2018-01-12
Death Note,8.69,222807,51,12,387656,31612,12,108,Finished,"['Supernatural', 'Suspense']","['Obata Takeshi', 'Ohba Tsugumi']",90,5,3,2003-12-01,2006-05-15
Beck (BECK: Mongolian Chop Squad),8.69,27339,52,192,76767,4850,34,103,Finished,"['Award Winning', 'Drama', 'Romance']",['Sakuishi Harold'],28,1,0,2000-02-17,2008-06-05
Sousou no Frieren (Frieren: Beyond Journey's End),8.68,27387,54,134,97785,5060,4,28,Publishing,"['Adventure', 'Award Winning', 'Drama', 'Fantasy']","['Yamada Kanehito', 'Abe Tsukasa']",38,3,3,2020-04-28,2023-12-11
Yokohama Kaidashi Kikou,8.68,18173,55,205,72255,5039,14,142,Finished,"['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']",['Ashinano Hitoshi'],32,2,5,1994-04-25,2006-02-25
Kino no Tabi: The Beautiful World,8.68,2734,56,954,18386,534,4,28,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Sigsawa Keiichi', 'Kuroboshi Kouhaku']",7,0,0,2000-03-10,2023-12-11
Akira,8.68,42366,57,88,128450,6448,6,120,Finished,"['Action', 'Award Winning', 'Sci-Fi']",['Otomo Katsuhiro'],22,5,4,1982-12-06,1990-06-11
Dorohedoro,8.68,53922,58,51,168006,12899,23,190,Finished,"['Action', 'Comedy', 'Fantasy', 'Horror']",['Hayashida Q'],48,2,2,2000-11-30,2018-09-12
Yagate Kimi ni Naru (Bloom into You),8.67,45806,59,128,100894,9580,8,50,Finished,"['Drama', 'Girls Love']",['Nakatani Nio'],79,3,1,2015-04-27,2019-09-27
Solo Leveling,8.67,261365,60,7,448787,40982,4,201,Finished,"['Action', 'Adventure', 'Fantasy']","['Chugong', 'Jang Sung-rak', 'Disciples']",147,56,35,2018-03-04,2023-05-31
