Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Charming the Duke of the North,7.40,696,3750,6367,"2,905",12,Unknown,Unknown,Publishing,"May  8, 2022 to ?","['Fantasy', 'Romance']",[],"Ju, Siha (Story), Eunhasu (Art)",2,"[1, 1, 0]"
The Golden Forest,7.40,141,3751,26522,329,3,Unknown,98,Finished,"Feb  1, 2021 to Apr  25, 2023","['Fantasy', 'Romance']",[],"Yoon, So-rie (Story), Ryuhwa (Art)",1,"[0, 1, 0]"
Not Your Typical Reincarnation Story,7.40,304,3752,12271,"1,254",12,Unknown,Unknown,Publishing,"Apr  4, 2023 to ?","['Fantasy', 'Romance']","['Isekai', 'Villainess']","Lemon Gaeguri (Story), Ajin (Art)",1,"[0, 1, 0]"
Guimi Zhi ZhuLord of Mysteries,7.40,171,3753,18333,672,89,18,366,Finished,"May  1, 2020 to Aug  1, 2023","['Action', 'Mystery', 'Supernatural', 'Suspense']",[],Ai Qianshui de Wuzei (Story),2,"[2, 0, 0]"
Xi Xing Ji,7.40,526,3720,7815,"2,280",30,Unknown,Unknown,Publishing,"Jun  11, 2015 to ?","['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']","Deng, Zhi Hui (Art), Zheng, Jian He (Story)",3,"[3, 0, 0]"
"Tashiro-kun, Kimi tte Yatsu wa.Tashiro-kun, Why're You Like This?",7.40,312,3721,10941,"1,465",18,Unknown,Unknown,Publishing,"Oct  18, 2016 to ?","['Boys Love', 'Comedy']",[],Yamada (Story & Art),0,"[0, 0, 0]"
Getsuyoubi no Tomodachi,7.40,434,3722,11943,"1,297",33,2,8,Finished,"May  22, 2017 to Dec  11, 2017",[],[],"Abe, Tomomi (Story & Art)",2,"[2, 0, 0]"
Taimashi to Akuma-chan,7.40,1884,3723,3170,"6,210",59,4,60,Finished,"Mar  27, 2018 to Mar  27, 2020","['Comedy', 'Fantasy']",[],"Tonami, Shou (Story & Art)",1,"[1, 0, 0]"
Sekai no Owari ni Shiba Inu toDoomsday with My Dog,7.40,596,3724,5969,"3,119",42,Unknown,Unknown,Publishing,"Mar  28, 2018 to ?","['Adventure', 'Comedy', 'Slice of Life']",[],"Ishihara, Yuu (Story & Art)",1,"[1, 0, 0]"
Nana to Kaoru: Last Year,7.40,1012,3725,6183,"2,998",38,5,31,Finished,"Nov  29, 2018 to Oct  29, 2021","['Comedy', 'Romance', 'Ecchi']",[],"Amazume, Ryuta (Story & Art)",6,"[1, 2, 3]"
Who Invited You?,7.40,828,3726,9119,"1,863",26,5,Unknown,Finished,"Jul  13, 2016 to Nov  15, 2017","['Comedy', 'Drama', 'Romance']",[],"Lee, Yun-hee (Story & Art)",1,"[1, 0, 0]"
Yuan ZunDragon Prince Yuan,7.40,1102,3727,5594,"3,357",40,Unknown,Unknown,Publishing,"Dec  4, 2017 to ?","['Action', 'Adventure', 'Fantasy']",[],"Dr. Daji (Art), Li, Hu (Story)",4,"[3, 1, 0]"
Madoka no HimitsuMadoka's Secret,7.40,1793,3728,5177,"3,651",43,1,7,Finished,"Oct  23, 2018 to Mar  26, 2019","['Comedy', 'Drama', 'Slice of Life']",[],"Kingyobachi, Deme (Story & Art)",3,"[3, 0, 0]"
Konyaku Haki kara Hajimaru Akuyaku Reijou no Kangoku Slow LifeBad Young Woman's Slow Life in Prison Start From Disengagement,7.40,1842,3729,5525,"3,415",18,1,3,Finished,"Jul  26, 2019 to Sep  26, 2019","['Comedy', 'Fantasy']",[],"Taira, Miya (Art), Yamazaki, Hibiki (Story)",2,"[2, 0, 0]"
Madou no KeifuTruth Weavers,7.40,641,3730,8135,"2,162",10,6,Unknown,Finished,"Sep  25, 2019 to Oct  25, 2023",[],[],"Satou, Sakura (Story), Inuzuka, Hiro (Art)",2,"[2, 0, 0]"
