Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Berserk,9.47,330372,1,1,"663,681","122,589",Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']","Miura, Kentarou (Story & Art), Studio Gaga (Art)",259,"[234, 15, 10]"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.30,156011,2,26,"255,574","42,791",24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",[],"Araki, Hirohiko (Story & Art)",128,"[120, 7, 1]"
Vagabond,9.24,135878,3,15,"363,767","40,004",37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']","Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",95,"[87, 7, 1]"
One Piece,9.22,365947,4,3,"598,004","114,319",Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],"Oda, Eiichiro (Story & Art)",206,"[173, 17, 16]"
Monster,9.15,93668,5,29,"235,740","20,468",18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']","Urasawa, Naoki (Story & Art)",76,"[64, 7, 5]"
Slam Dunk,9.08,73410,6,56,"163,441","15,461",31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']","Inoue, Takehiko (Story & Art)",52,"[50, 1, 1]"
Vinland Saga,9.06,124354,7,19,"291,901","32,163",Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",[],"Yukimura, Makoto (Story & Art)",81,"[61, 10, 10]"
Fullmetal Alchemist,9.03,154999,8,20,"288,117","29,900",27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],"Arakawa, Hiromu (Story & Art)",56,"[54, 0, 2]"
Grand BlueGrand Blue Dreaming,9.03,64733,9,48,"171,296","17,095",Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",[],[],"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",49,"[44, 2, 3]"
Oyasumi PunpunGoodnight Punpun,9.01,174151,10,9,"425,721","50,639",13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice of Life']",[],"Asano, Inio (Story & Art)",262,"[205, 31, 26]"
Kingdom,9.00,59729,11,52,"165,324","14,644",Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","['Action', 'Award Winning']","['Historical', 'Military']","Hara, Yasuhisa (Story & Art)",46,"[42, 3, 1]"
Houseki no KuniLand of the Lustrous,8.96,38521,12,94,"123,236","13,652",Unknown,Unknown,Publishing,"Oct  25, 2012 to ?","['Action', 'Drama', 'Fantasy']",[],"Ichikawa, Haruko (Story & Art)",37,"[32, 4, 1]"
20th Century Boys,8.95,85272,13,28,"245,809","19,189",22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']","Urasawa, Naoki (Story & Art)",72,"[64, 6, 2]"
Ashita no Joe,8.94,16207,14,308,"50,444","4,132",20,171,Finished,"Jan  1, 1968 to May  13, 1973","['Drama', 'Slice of Life', 'Sports']",[],"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",20,"[19, 0, 1]"
Real,8.93,18967,15,168,"83,613","3,661",Unknown,Unknown,Publishing,"Oct  28, 1999 to ?","['Drama', 'Sports']","['Psychological', 'Team Sports']","Inoue, Takehiko (Story & Art)",24,"[24, 0, 0]"
Monogatari Series: First Season,8.93,15662,16,271,"57,493","3,057",6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']",[],"NISIO, ISIN (Story), VOFAN (Art)",13,"[13, 0, 0]"
Monogatari Series: Second Season,8.91,6635,17,778,"22,268",726,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","['Comedy', 'Drama', 'Mystery', 'Supernatural']",[],"NISIO, ISIN (Story), VOFAN (Art)",3,"[3, 0, 0]"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai ZunousenKaguya-sama: Love Is War,8.91,126478,18,25,"261,971","28,378",28,281,Finished,"May  19, 2015 to Nov  2, 2022","['Award Winning', 'Comedy']","['Romantic Subtext', 'School']","Akasaka, Aka (Story & Art)",110,"[93, 8, 9]"
Mikkakan no KoufukuThree Days of Happiness,8.90,8533,19,641,"26,874","1,163",1,15,Finished,"Dec  25, 2013",[],[],"Miaki, Sugaru (Story)",16,"[13, 1, 2]"
Yotsuba to!Yotsuba&!,8.89,53188,20,71,"149,899","15,886",Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","['Award Winning', 'Comedy', 'Slice of Life']","['Childcare', 'Iyashikei']","Azuma, Kiyohiko (Story & Art)",40,"[40, 0, 0]"
GTOGTO: Great Teacher Onizuka,8.88,64268,21,54,"164,186","11,171",25,208,Finished,"Dec  11, 1996 to Jan  30, 2002","['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Delinquents', 'School', 'Workplace']","Fujisawa, Tooru (Story & Art)",44,"[38, 1, 5]"
3-gatsu no LionMarch Comes in Like a Lion,8.88,18183,22,228,"65,383","4,017",Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","['Award Winning', 'Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']","Umino, Chica (Story & Art)",15,"[15, 0, 0]"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu eClassroom of the Elite,8.87,30400,23,176,"81,557","7,960",14,110,Finished,"May  25, 2015 to Sep  25, 2019",[],"['Psychological', 'School']","Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)",35,"[32, 1, 2]"
Koe no KatachiA Silent Voice,8.86,143265,24,23,"264,141","22,221",7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","['Award Winning', 'Drama']",[],"Ooima, Yoshitoki (Story & Art)",105,"[95, 9, 1]"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-henClassroom of the Elite: Year 2,8.85,12881,25,499,"33,532","2,129",Unknown,Unknown,Publishing,"Jan  24, 2020 to ?",[],"['Psychological', 'School']","Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)",5,"[2, 0, 3]"
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden WitchUmineko When They Cry Episode 8: Twilight of the Golden Witch,8.85,5789,26,1129,"15,875","1,462",9,42,Finished,"Jan  21, 2012 to Jun  22, 2015","['Drama', 'Fantasy', 'Mystery', 'Supernatural']",[],"Natsumi, Kei (Art), Ryukishi07 (Story)",11,"[10, 1, 0]"
Haikyuu!!Haikyu!!,8.85,101688,27,34,"211,265","17,948",45,407,Finished,"Feb  20, 2012 to Jul  20, 2020","['Award Winning', 'Sports']","['School', 'Team Sports']","Furudate, Haruichi (Story & Art)",45,"[43, 2, 0]"
Monogatari Series: Final Season,8.85,4571,28,969,"18,036",476,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","['Comedy', 'Mystery', 'Supernatural']",[],"NISIO, ISIN (Story), VOFAN (Art)",0,"[0, 0, 0]"
Ookami to KoushinryouSpice & Wolf,8.83,15399,29,244,"62,526","4,129",Unknown,Unknown,Publishing,"Feb  10, 2006 to ?","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Adult Cast', 'Historical']","Hasekura, Isuna (Story), Ayakura, Juu (Art)",9,"[9, 0, 0]"
Kaze no Tani no NausicaäNausicaä of the Valley of the Wind,8.82,16310,30,280,"56,550","3,380",7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Supernatural']",[],"Miyazaki, Hayao (Story & Art)",14,"[14, 0, 0]"
Akatsuki no YonaYona of the Dawn,8.82,46958,31,81,"131,225","13,833",Unknown,Unknown,Publishing,"Aug  5, 2009 to ?","['Action', 'Adventure', 'Fantasy', 'Romance']",[],"Kusanagi, Mizuho (Story & Art)",61,"[50, 9, 2]"
8686—Eighty-Six,8.81,9453,32,437,"37,926","2,817",Unknown,Unknown,Publishing,"Feb  10, 2017 to ?","['Action', 'Drama', 'Sci-Fi']",[],"Shirabi (Art), Asato, Asato (Story)",14,"[11, 3, 0]"
Mushoku Tensei: Isekai Ittara Honki DasuMushoku Tensei: Jobless Reincarnation,8.80,33161,33,183,"79,918","7,243",26,330,Finished,"Jan  23, 2014 to Nov  25, 2022",[],"['Isekai', 'Reincarnation']","Rifujin na Magonote (Story), Sirotaka (Art)",51,"[38, 6, 7]"
Re:Zero kara Hajimeru Isekai SeikatsuRe:ZERO -Starting Life in Another World-,8.79,19897,34,223,"66,944","5,218",Unknown,Unknown,Publishing,"Jan  23, 2014 to ?","['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']","Nagatsuki, Tappei (Story), Ootsuka, Shinichirou (Art)",15,"[13, 1, 1]"
Nana,8.79,42010,35,78,"134,221","11,141",21,84,On Hiatus,"May  26, 2000 to May  26, 2009","['Award Winning', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']","Yazawa, Ai (Story & Art)",24,"[23, 1, 0]"
Uchuu KyoudaiSpace Brothers,8.78,7893,36,487,"34,076","1,439",Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","['Award Winning', 'Drama', 'Sci-Fi']","['Adult Cast', 'Space', 'Workplace']","Koyama, Chuuya (Story & Art)",7,"[7, 0, 0]"
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.I sold my life for ten thousand yen per year.",8.78,84894,37,61,"158,251","13,375",3,18,Finished,"Aug  10, 2016 to Oct  25, 2017",[],[],"Taguchi, Shouichi (Art), Miaki, Sugaru (Story)",91,"[80, 4, 7]"
Made in Abyss,8.77,51879,38,64,"155,498","10,148",Unknown,Unknown,Publishing,"Oct  20, 2012 to ?","['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],"Tsukushi, Akihito (Story & Art)",53,"[25, 12, 16]"
"Yahari Ore no Seishun Love Comedy wa Machigatteiru.My Youth Romantic Comedy Is Wrong, As I Expected",8.77,19195,39,213,"69,431","4,143",18,168,Finished,"Mar  18, 2011 to Apr  20, 2021","['Comedy', 'Romance']","['Love Polygon', 'School']","Watari, Wataru (Story), Ponkan⑧ (Art)",23,"[19, 1, 3]"
One Punch-ManOne-Punch Man,8.75,230092,40,6,"467,576","38,089",Unknown,Unknown,Publishing,"Jun  14, 2012 to ?","['Action', 'Comedy']","['Parody', 'Super Power']","Murata, Yusuke (Art), ONE (Story)",57,"[45, 10, 2]"
Kokou no HitoThe Climber,8.74,29362,41,135,"96,932","5,409",17,170,Finished,"Nov  1, 2007 to Oct  27, 2011","['Drama', 'Sports']",[],"Sakamoto, Shinichi (Story & Art)",45,"[42, 0, 3]"
Chainsaw Man,8.74,360934,42,4,"588,720","79,426",Unknown,Unknown,Publishing,"Dec  3, 2018 to ?","['Action', 'Award Winning', 'Supernatural']",[],"Fujimoto, Tatsuki (Story & Art)",355,"[273, 56, 26]"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo ErandeiraremasenAscendance of a Bookworm: I'll do Anything to Become a Librarian!,8.74,4043,43,1375,"13,684",902,Unknown,Unknown,Publishing,"Jan  25, 2015 to ?",[],"['Isekai', 'Reincarnation']","Shiina, You (Art), Kazuki, Miya (Story)",12,"[9, 2, 1]"
Hunter x Hunter,8.73,121385,44,24,"263,591","23,126",Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","['Action', 'Adventure', 'Fantasy']",[],"Togashi, Yoshihiro (Story & Art)",44,"[34, 7, 3]"
Hajime no IppoHajime no Ippo: Fighting Spirit!,8.72,35272,45,169,"83,219","6,604",Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","['Award Winning', 'Sports']",[],"Morikawa, George (Story & Art)",20,"[15, 3, 2]"
Mushishi,8.72,19001,46,180,"80,938","2,809",10,50,Finished,"Nov  1999 to Aug  25, 2008","['Award Winning', 'Fantasy', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']","Urushibara, Yuki (Story & Art)",12,"[12, 0, 0]"
Utsuro no Hako to Zero no MariaThe Empty Box and Zeroth Maria,8.71,20027,47,126,"101,594","5,302",7,40,Finished,"Jan  10, 2009 to Jun  10, 2015","['Action', 'Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Suspense']","['Psychological', 'School']","Mikage, Eiji (Story), Tetsuo (Art)",48,"[39, 5, 4]"
Tian Guan CifuHeaven Official's Blessing: Tian Guan Ci Fu,8.71,2868,48,2874,"6,811",832,6,Unknown,Finished,"Feb  4, 2021 to Mar  31, 2022","['Action', 'Adventure', 'Boys Love', 'Supernatural']",[],Mo Xiang Tong Xiu (Story),4,"[2, 1, 1]"
Shoujo Shuumatsu RyokouGirls' Last Tour,8.70,25098,49,237,"64,425","5,649",6,47,Finished,"Feb  21, 2014 to Jan  12, 2018","['Adventure', 'Award Winning', 'Slice of Life']",[],Tsukumizu (Story & Art),34,"[32, 2, 0]"
Kono Oto Tomare!,8.69,11729,50,399,"40,719","2,479",Unknown,Unknown,Publishing,"Aug  4, 2012 to ?",[],"['Performing Arts', 'School']","Sakura, Amyuu (Story & Art)",15,"[14, 1, 0]"
Death Note,8.69,222556,51,12,"387,201","31,591",12,108,Finished,"Dec  1, 2003 to May  15, 2006","['Supernatural', 'Suspense']",[],"Obata, Takeshi (Art), Ohba, Tsugumi (Story)",99,"[91, 5, 3]"
BeckBECK: Mongolian Chop Squad,8.69,27280,52,192,"76,564","4,838",34,103,Finished,"Feb  17, 2000 to Jun  5, 2008","['Award Winning', 'Drama', 'Romance']",[],"Sakuishi, Harold (Story & Art)",29,"[28, 1, 0]"
"Sayonara EriGoodbye, Eri",8.69,67066,53,124,"102,798","5,256",1,Unknown,Finished,"Apr  11, 2022",[],[],"Fujimoto, Tatsuki (Story & Art)",59,"[55, 3, 1]"
Yokohama Kaidashi Kikou,8.68,18159,54,205,"72,132","5,022",14,142,Finished,"Apr  25, 1994 to Feb  25, 2006","['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']",[],"Ashinano, Hitoshi (Story & Art)",38,"[31, 2, 5]"
Kino no Tabi: The Beautiful World,8.68,2719,55,954,"18,320",526,Unknown,Unknown,Publishing,"Mar  10, 2000 to ?","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",[],"Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)",7,"[7, 0, 0]"
Akira,8.68,42302,56,87,"128,231","6,436",6,120,Finished,"Dec  6, 1982 to Jun  11, 1990","['Action', 'Award Winning', 'Sci-Fi']",[],"Otomo, Katsuhiro (Story & Art)",31,"[22, 5, 4]"
Dorohedoro,8.68,53740,57,51,"167,512","12,876",23,190,Finished,"Nov  30, 2000 to Sep  12, 2018","['Action', 'Comedy', 'Fantasy', 'Horror']",[],"Hayashida, Q (Story & Art)",52,"[48, 2, 2]"
Solo Leveling,8.67,260727,58,7,"447,791","40,937",Unknown,201,Finished,"Mar  4, 2018 to May  31, 2023","['Action', 'Adventure', 'Fantasy']",[],"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)",236,"[146, 56, 34]"
The Horizon,8.67,38077,59,171,"82,178","4,289",3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","['Adventure', 'Drama']",[],"Jeong, Ji-Hoon (Story & Art)",55,"[48, 7, 0]"
Sousou no FrierenFrieren: Beyond Journey's End,8.67,26864,60,136,"96,353","4,926",Unknown,Unknown,Publishing,"Apr  28, 2020 to ?","['Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],"Yamada, Kanehito (Story), Abe, Tsukasa (Art)",44,"[39, 3, 2]"
Yagate Kimi ni NaruBloom into You,8.67,45712,61,128,"100,697","9,540",8,50,Finished,"Apr  27, 2015 to Sep  27, 2019","['Drama', 'Girls Love']",[],"Nakatani, Nio (Story & Art)",83,"[79, 3, 1]"
Kimi no Suizou wo TabetaiI Want to Eat Your Pancreas,8.66,2764,62,2924,"6,694",380,1,10,Finished,"Jun  17, 2015","['Drama', 'Romance']",[],"Sumino, Yoru (Story)",2,"[2, 0, 0]"
Shinyaku Toaru Majutsu no IndexA Certain Magical Index NT,8.66,4746,63,1243,"14,850","1,194",23,178,Finished,"Mar  10, 2011 to Jul  10, 2019","['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']",[],"Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)",8,"[8, 0, 0]"
Kozure OokamiLone Wolf & Cub,8.66,6841,64,353,"45,393","1,540",28,142,Finished,Sep  1970 to Apr  1976,[],"['Historical', 'Samurai']","Koike, Kazuo (Story), Kojima, Goseki (Art)",8,"[7, 1, 0]"
Natsume YuujinchouNatsume's Book of Friends,8.66,10756,65,374,"43,034","2,163",Unknown,Unknown,Publishing,"Jun  10, 2003 to ?","['Drama', 'Supernatural']",[],"Midorikawa, Yuki (Story & Art)",6,"[5, 1, 0]"
Zaregoto SeriesZaregoto,8.66,4040,66,745,"23,034","1,167",Unknown,Unknown,Publishing,"Feb  5, 2002 to ?","['Action', 'Drama', 'Mystery', 'Supernatural']",[],"NISIO, ISIN (Story), Take (Art)",9,"[8, 1, 0]"
Koten-bu Series,8.65,3229,67,994,"17,650",634,Unknown,Unknown,Publishing,"Oct  31, 2001 to ?","['Adventure', 'Mystery']",[],"Yonezawa, Honobu (Story)",6,"[5, 0, 1]"
ReLIFE,8.65,78772,68,60,"158,458","12,056",15,238,Finished,"Oct  12, 2013 to Mar  16, 2018","['Comedy', 'Drama', 'Romance', 'Slice of Life']",[],"Yayoi, Sou (Story & Art)",69,"[67, 1, 1]"
Overlord,8.65,21464,69,251,"61,296","3,969",Unknown,Unknown,Publishing,"Jul  30, 2012 to ?","['Action', 'Fantasy', 'Supernatural']","['Isekai', 'Video Game']","Maruyama, Kugane (Story), so-bin (Art)",14,"[12, 0, 2]"
Bungou Stray Dogs: BeastBungo Stray Dogs: Beast,8.65,4529,70,1435,"13,220",680,4,22,Finished,"Dec  26, 2019 to Jan  26, 2022","['Action', 'Supernatural']",[],"Asagiri, Kafka (Story), Hoshikawa, Shiwasu (Art)",2,"[2, 0, 0]"
Golden Kamuy,8.64,23712,71,153,"88,427","5,123",31,314,Finished,"Aug  21, 2014 to Apr  28, 2022","['Action', 'Adventure', 'Award Winning']",[],"Noda, Satoru (Story & Art)",27,"[25, 2, 0]"
Violet Evergarden,8.64,5747,72,647,"26,605",741,2,13,Finished,"Dec  25, 2015 to Dec  26, 2016","['Drama', 'Fantasy']",[],"Akatsuki, Kana (Story), Takase, Akiko (Art)",5,"[4, 1, 0]"
Blue Period,8.64,34901,73,98,"118,543","8,172",Unknown,Unknown,Publishing,"Jun  24, 2017 to ?","['Award Winning', 'Drama']","['School', 'Visual Arts']","Yamaguchi, Tsubasa (Story & Art)",38,"[37, 0, 1]"
"""Oshi no Ko""[Oshi No Ko]",8.63,63495,74,58,"160,599","12,739",Unknown,Unknown,Publishing,"Apr  23, 2020 to ?","['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']","Akasaka, Aka (Story), Yokoyari, Mengo (Art)",98,"[67, 18, 13]"
Gintama,8.63,39019,75,144,"93,434","8,267",77,709,Finished,"Dec  8, 2003 to Jun  20, 2019","['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']","Sorachi, Hideaki (Story & Art)",27,"[25, 1, 1]"
Aria,8.63,9904,76,448,"36,949","2,549",12,67,Finished,"Feb  28, 2002 to Feb  29, 2008","['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']",[],"Amano, Kozue (Story & Art)",19,"[17, 1, 1]"
PlutoPluto: Urasawa x Tezuka,8.63,42650,77,104,"115,769","5,278",8,65,Finished,"Sep  9, 2003 to Apr  1, 2009","['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",[],"Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)",36,"[32, 4, 0]"
Seishun Buta Yarou SeriesRascal Does Not Dream,8.63,5234,78,697,"24,793",965,Unknown,Unknown,Publishing,"Apr  10, 2014 to ?","['Drama', 'Romance', 'Supernatural']",[],"Kamoshida, Hajime (Story), Mizoguchi, Keiji (Art)",3,"[2, 1, 0]"
Kono Subarashii Sekai ni Shukufuku wo!Konosuba: God's Blessing on This Wonderful World!,8.62,16547,79,302,"51,737","2,817",17,127,Finished,"Oct  1, 2013 to May  1, 2020","['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']","Mishima, Kurone (Art), Akatsuki, Natsume (Story)",15,"[14, 1, 0]"
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.62,705,80,6747,"2,716",355,5,21,Finished,"Aug  8, 2014 to Jan  14, 2016","['Drama', 'Horror', 'Mystery', 'Supernatural']",[],"Hanada, Keika (Story), Moyataro (Art)",1,"[1, 0, 0]"
Tian Guan CifuHeaven Official's Blessing,8.62,3148,81,1946,"9,726",743,Unknown,Unknown,Publishing,"Oct  19, 2019 to ?","['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']",[],"Mo Xiang Tong Xiu (Story), STARember (Art)",3,"[2, 1, 0]"
Mob Psycho 100,8.61,45068,82,109,"113,068","5,594",16,109,Finished,"Apr  18, 2012 to Dec  22, 2017","['Action', 'Award Winning', 'Comedy', 'Supernatural']",[],ONE (Story & Art),14,"[12, 1, 1]"
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu kaWill you marry me again if you are reborn?",8.61,9008,83,683,"25,257",835,4,26,Finished,"Oct  20, 2017 to Sep  20, 2019",[],[],"Morinaga, Miku (Story & Art)",21,"[21, 0, 0]"
Veil,8.61,1484,84,2828,"6,918",354,Unknown,Unknown,Publishing,"Nov  15, 2019 to ?","['Drama', 'Romance', 'Slice of Life']",[],"Fukuda, Ikumi (Story & Art)",2,"[2, 0, 0]"
Banana Fish,8.61,14011,85,289,"54,298","2,297",19,110,Finished,"Apr  13, 1985 to Mar  12, 1994","['Action', 'Adventure', 'Drama']",[],"Yoshida, Akimi (Story & Art)",15,"[13, 1, 1]"
Hi no Tori (1967)Phoenix,8.61,3953,86,813,"21,314",720,16,19,Finished,"Dec  20, 1966 to Feb  1988","['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural']","['Historical', 'Psychological', 'Space']","Tezuka, Osamu (Story & Art)",7,"[7, 0, 0]"
Suzumiya Haruhi Series,8.60,11632,87,445,"37,303","1,954",Unknown,Unknown,Publishing,"Jun  6, 2003 to ?","['Comedy', 'Drama', 'Sci-Fi', 'Supernatural']",[],"Tanigawa, Nagaru (Story), Itou, Noizi (Art)",9,"[9, 0, 0]"
Ginga Eiyuu DensetsuLegend of the Galactic Heroes,8.60,2012,88,1962,"9,625",287,10,94,Finished,Nov  1982 to Nov  1987,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']","Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",5,"[5, 0, 0]"
Omniscient Reader,8.60,2749,89,3179,"6,190",880,Unknown,Unknown,Publishing,"Jan  20, 2022 to ?","['Action', 'Adventure', 'Fantasy']",[],sing N song (Story),9,"[9, 0, 0]"
Kaoru Hana wa Rin to SakuThe Fragrant Flower Blooms with Dignity,8.60,12677,90,398,"41,030","1,830",Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","['Drama', 'Romance']",[],"Mikami, Saka (Story & Art)",30,"[24, 4, 2]"
Tongari Boushi no AtelierWitch Hat Atelier,8.60,18019,91,194,"76,056","4,451",Unknown,Unknown,Publishing,"Jul  22, 2016 to ?",[],[],"Shirahama, Kamome (Story & Art)",19,"[14, 4, 1]"
Ao Ashi,8.60,11087,92,634,"27,155","1,529",Unknown,Unknown,Publishing,"Jan  5, 2015 to ?","['Award Winning', 'Sports']",[],"Kobayashi, Yuugo (Story & Art), Ueno, Naohiko (Story)",18,"[17, 0, 1]"
Monogatari Series: Monster Season,8.60,1084,93,2869,"6,814",90,6,Unknown,Finished,"Jul  20, 2017 to Aug  19, 2021","['Comedy', 'Mystery', 'Supernatural']",[],"NISIO, ISIN (Story), VOFAN (Art)",2,"[2, 0, 0]"
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden WitchUmineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch,8.59,4990,94,1556,"12,354",332,9,48,Finished,"Apr  13, 2011 to Mar  12, 2015","['Drama', 'Mystery', 'Supernatural', 'Suspense']",[],"Mizuno, Eita (Art), Ryukishi07 (Story)",2,"[2, 0, 0]"
Shigatsu wa Kimi no UsoYour Lie in April,8.59,33236,95,189,"78,345","2,644",11,44,Finished,"Apr  6, 2011 to Feb  6, 2015","['Award Winning', 'Drama', 'Romance']","['Music', 'School']","Arakawa, Naoshi (Story & Art)",16,"[12, 4, 0]"
Neon Genesis Evangelion,8.58,48158,96,111,"109,682","7,528",14,97,Finished,"Dec  26, 1994 to Jun  4, 2013","['Action', 'Drama', 'Mystery', 'Sci-Fi']","['Mecha', 'Psychological']","Sadamoto, Yoshiyuki (Story & Art)",22,"[20, 2, 0]"
JoJo no Kimyou na Bouken Part 4: Diamond wa KudakenaiJoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,8.57,59863,97,131,"100,237","6,448",18,174,Finished,"Apr  21, 1992 to Nov  21, 1995","['Action', 'Supernatural']",[],"Araki, Hirohiko (Story & Art)",21,"[20, 0, 1]"
Pandora Hearts,8.57,60090,98,49,"170,739","16,468",24,107,Finished,"May  18, 2006 to Mar  18, 2015","['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",[],"Mochizuki, Jun (Story & Art)",93,"[87, 4, 2]"
Chihayafuru,8.57,13418,99,364,"44,321","2,576",50,252,Finished,"Dec  28, 2007 to Aug  1, 2022","['Award Winning', 'Drama']","['Love Polygon', 'Strategy Game']","Suetsugu, Yuki (Story & Art)",8,"[8, 0, 0]"
Wind Breaker,8.57,16915,100,343,"46,188","2,867",Unknown,Unknown,Publishing,"Dec  15, 2013 to ?","['Action', 'Drama', 'Sports']",[],"Jo, Yongseok (Story & Art)",10,"[10, 0, 0]"
Jibaku Shounen Hanako-kunToilet-Bound Hanako-kun,8.57,38448,101,113,"109,155","10,862",Unknown,Unknown,Publishing,"Dec  18, 2014 to ?",[],[],"Aida, Iro (Story & Art)",30,"[25, 1, 4]"
Skip to LoaferSkip and Loafer,8.57,7612,102,536,"31,395","1,513",Unknown,Unknown,Publishing,"Aug  25, 2018 to ?","['Award Winning', 'Drama']",[],"Takamatsu, Misaki (Story & Art)",11,"[11, 0, 0]"
Spy x Family,8.56,122495,103,18,"293,558","19,938",Unknown,Unknown,Publishing,"Mar  25, 2019 to ?","['Action', 'Comedy']",[],"Endou, Tatsuya (Story & Art)",53,"[49, 4, 0]"
Mo Dao Zu ShiGrandmaster of Demonic Cultivation: Mo Dao Zu Shi,8.56,2327,104,3910,"5,005",534,4,27,Finished,"Dec  8, 2016","['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",[],Mo Xiang Tong Xiu (Story),2,"[0, 1, 1]"
